"votes.Томенко","votes.Бондаренко","votes.Берёза","votes.Гусовский","votes.Пузанов","votes.Мирный","votes.Поживанов","company","period","sample","method","link","votes.Батькивщина","votes.Слуга народа","votes.Блок Порошенко","votes.Гражданская позиция","votes.Рідна країна","votes.Рух новых сил","votes.Самопомощь","votes.Партия О.Ляшко","votes.Свобода","votes.Оппозиционный блок","votes.Другая партия/Другой кандидат","votes.Не пойду на выборы","votes.Затруднились ответить","votes.Против всех","votes.Тимошенко","votes.Порошенко","votes.Зеленский","votes.Гриценко","votes.Вакарчук","votes.Рабинович","votes.Садовый","votes.Ляшко","votes.Бойко","votes.Королевская","error","votes.За життя","votes.Рух «Справедливость»","votes.Партия Надежды Савченко","votes.Единый Центр","votes.Возрождение","votes.УКРОП","votes.Народный фронт","votes.Сильная Украина","votes.Сила людей","votes.Наш край","votes.Народный контроль","votes.5.10","votes.Кличко","votes.Омельченко","votes.Монтян","votes.Думчев","votes.Балашов","votes.Богдан","votes.Мигаль","votes.Рябоконь","votes.Мамоян","votes.Шахов","votes.Мошенский","votes.Кобзарь","votes.Краснов","votes.Рычкова","votes.Микитась","votes.Власенко","votes.Блауш","votes.Фирсов","votes.Насалик","votes.Шевченко","votes.Тебешевская","votes.Гошовский","votes.Сикора","votes.Вилкул","votes.Семенченко","votes.Колесник","votes.Сова","votes.Левицкий","votes.Бойченко","votes.Бородин","votes.Тернавский","votes.Шекула","votes.Ярошенко","votes.Молодежь к власти","votes.Доверяй делам","votes.СДП","votes.Соколов","votes.Сухомлин","votes.Цимбалюк","votes.Атрошенко","votes.Казаков","votes.Грицишин","votes.Филатов","votes.Райкович","votes.Стрижаков","votes.Миколаенко","votes.Мангер","votes.Буряк","votes.Фролов","votes.Ефимов","votes.Панков","votes.Каспрук","votes.Михайлишин","votes.Вершина","votes.Терехов","votes.Моргунов","votes.Щербаковская","votes.Кошулинский","votes.Ефименко","votes.Дикий","votes.Малецкий","votes.Калашник","votes.Марцинкив","votes.Романюк","votes.Товстенюк","votes.Европейская партия","votes.Савченко","votes.Качур","votes.Ратушняк","votes.Андреев ","votes.Чубирко","votes.Бадида","votes.Волошин","votes.Иванян","votes.Поддубная","votes.Пилипенко","votes.Дроздова","votes.Головач","votes.Кавунник","votes.Плахотник","votes.Поруч","votes.Родной город","votes.Солидарность правых сил","votes.Надал","votes.Пастух","votes.Ландяк","votes.Блихар","votes.Вонс","votes.Пивторак","votes.Царик","votes.Кинаш","votes.Труханов","votes.Боровик","votes.Гурвиц","votes.Кивалов","votes.Фабрикант","votes.Вейдер","votes.Морская партия","votes.Кальцев","votes.Син","votes.Старух","votes.Новая политика","votes.Волонтерская партия","votes.Блок Дарта Вейдера","votes.Единство","votes.Решительные граждане","votes.Демократический альянс","votes.Гацько","votes.Корбан","votes.Ехануров","votes.Гражданская сила","votes.УГП","votes.НРУ","votes.Рух за реформы","votes.Кернес","votes.Ситенко","votes.Сапронов","votes.Балута","votes.Давтян","votes.Родзинский","votes.Швайка","votes.Меркулова","votes.Гирняк","votes.Добродомов","votes.Юринець","votes.Курячий","votes.Чеберда","votes.Чурило","votes.Леонов","votes.Бедей","votes.Копча","votes.Национальный корпус","votes.Хомко","votes.Якимец","votes.Муляренко","votes.Бучинский","votes.Кантарий","votes.Лащук","votes.Шинкаренко","votes.Заричнюк","votes.Цинко","votes.Аграрная партия","votes.Бабенко","votes.Светловский","votes.Крыжов","votes.Смалий","votes.Караманиц","votes.Милобог","votes.Партия ветеранов Афганистана","votes.Лысенко","votes.Епифанов","votes.Клочко","votes.Лантушенко","votes.Жук","votes.Крамченков","votes.Гринцов","votes.Гранатуров","votes.Дятлов","votes.Сенкевич","votes.Воронов","votes.Клименко","votes.Жело","votes.Губский","votes.Кроль","votes.Воля","votes.Социалисты","votes.Баляш","votes.Лях","votes.Зонтов","votes.Казацкий","votes.Третьяков","votes.Нечипоренко","votes.Табалов","votes.Атаманчук","votes.Санасарян","votes.Пузаков","votes.Михальонок","votes.Максюта","votes.ППУ","votes.Зинкевич","votes.Васюник","votes.Галасюк","votes.Тягнибок","votes.Яценюк","votes.Якимчук","votes.Мельничук","votes.Пургаш","votes.Кушнирик","votes.Козак","votes.Коломиец","votes.Кишлярук","votes.КПУ","votes.Гришин","votes.Завгородняя","votes.Пожидаев","votes.Зотов","votes.Кныш","votes.Бакай","votes.Гончарук","votes.Шаповалов","votes.Чепурной","votes.Синица","votes.Степаненко","votes.Дихтярь","votes.Подколзин","votes.Кумпан","votes.Чернышин","votes.Белоцерковская","votes.Самарский","votes.Фурман","votes.Бутков","votes.Пригеба","votes.Романенко","votes.Нова держава","votes.СДПУ(о)","votes.Булавка","votes.Крупский","votes.Шебанов ","votes.Закора","votes.Правый сектор","votes.За конкретные дела","votes.Фисак","votes.Старун","votes.Бычков","votes.Киселев","votes.Бовкун","votes.Лященко","votes.Кравец","votes.Наявко","votes.Рыбаков","votes.Сидоренко","votes.Минько","votes.Романов","votes.Чаппа","votes.Рябиков","votes.Андрос","votes.Метелица","votes.Искандеров","votes.Тихонов","votes.Житник","votes.Кириленко","votes.Волошенков","votes.Гройсман","votes.УДАР","votes.Саакашвили","votes.Коломойский","votes.Черкащани","votes.Партия вольных демократов","votes.Совесть Украины","votes.Одарыч","votes.Матковский","votes.Мамай","votes.Фельдман","votes.Зинькевич","votes.Степанов","votes.Коломак","votes.Кошляк","votes.Пономарь","votes.Муц","votes.Анушкевичус","votes.Кулинич","votes.Слободян","votes.А.Дятлов","votes.Найда","votes.Молодёжная партия Украины","votes.Мухтаров","votes.Хортив","votes.Денищенко","votes.Козюберда","votes.Маслов","votes.Рогалев","votes.Феленко","votes.Цибуля","votes.Татарченко","votes.Ярош","votes.Литвинов","votes.Бессонный","votes.Сергиенко","votes.Пучков","votes.Чиж","votes.Дебой","votes.Кизин","votes.Шелудченко","votes.Буравков","votes.Давиденко","votes.Сальдо","votes.Погребной","votes.Гордеев","votes.Дмитриев","votes.Яременко","votes.Богданов","votes.Опанащенко","votes.Силенков","votes.Новые лица","votes.Катеринчук","votes.Добкин","votes.Райнин","votes.Тигипко","votes.Симоненко","votes.Коба","votes.Бугайчук","votes.Левченко","votes.Блок В.Миколаенко","votes.Левая оппозиция","votes.Партия «Херсонцы»","votes.ЛПУ","votes.Гирин","votes.Самойлик","votes.Мочанов","votes.Ильенко","votes.Александровская","votes.Кожемяко","votes.Маринин","votes.Попов","votes.СПУ","votes.Куличенко","votes.Заяц","votes.Ступак","votes.Шабанов","votes.Скорик","votes.Киван","votes.Гончаренко","votes.Ильюк","votes.Исаков","votes.Кремень","votes.Садиков","votes.Казакова","votes.Бусенков","votes.Романовский","votes.Адамчук","votes.Березкин","votes.Онул","votes.Прокопенко","votes.Кравченко","votes.Гладкий","votes.Струк","votes.Кремечуцкий","votes.Коваленко","votes.Родина","votes.Момот","votes.Епифанцева","votes.Жолобецкий","votes.Арахамия","votes.Янцен","votes.Симченко","votes.Романчук","votes.Надоша","votes.Воля народу","votes.Шурма","votes.Бабурин","votes.Сабашук","votes.Карташов","votes.Самардак","votes.Артюшенко","votes.Пономарчук","votes.Мухин","votes.Березенко","votes.Зверев","votes.Андрейченко","votes.Мищенко","votes.Зуб","votes.Демьяненко","votes.Пармс","votes.Мельник","votes.Захорольский","votes.Лесничий","votes.Гузенко","votes.Матвийчук","votes.Чекита","votes.Гриневецкий","votes.Дануца","votes.Топчий","votes.Марковский","votes.Погребнюк","votes.Саинсус","votes.Луценко","votes.Емец","votes.Козырь","votes.Антощенко","votes.Ентин","votes.Токарь","votes.Матыцин","votes.Холод","votes.Алайбов","votes.Албу","votes.Азаров","votes.Дубенко","votes.Оробец","votes.Кисловский","votes.Кужель","votes.Пилипишин","votes.Макеенко","votes.Партия регионов","votes.Украина - Вперёд!","votes.Бондарчук","votes.Зеленая планета","votes.Национальный рух Д.Яроша","votes.Объединение правых партий","votes.Партия Вакарчука","votes.Блок Левых Сил","votes.Партия участников АТО","votes.Заступ","votes.Украина - единая страна","votes.Фронт перемен","votes.Центр","votes.Украинский выбор","votes.Наша Украина","votes.ПЗУ","votes.Народная партия","votes.ПСПУ","votes.Русский блок","votes.УП Собор","votes.Україна Майбутнього","votes.Зелёные","votes.Каплин","votes.Богомолец","votes.Ахметов","votes.Гриненко","votes.Цушко","votes.Царёв","votes.Парубий","votes.Медведчук","votes.Билецкий","votes.Наливайченко","votes.Янукович","votes.Ющенко","votes.Богословская","votes.Литвин","votes.Витренко"
,,,,,,,"Закарпатский институт политических исследований","16.10.2015 - 17.10.2015","500","личное интервью","http://zakarpattya.net.ua/News/146665-Uzhhorod-V-liderakh-Kachur-i-Andriiv-Solidarnist-i-IEdynyi-TSentr","3.4",,"11.8",,,,"5.4","2.4",,,"12.00","12.20","19.00","4.40",,,,,,,,,,,"5.0 %",,,,"8.8","4.6","4",,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа ""Выбор""","12.10.2015 - 14.10.2015","500","личное интервью","http://vse.rv.ua/politika/1444905515-reytingi-kandidativ-na-miskogo-golovu-rivnogo-nezalezhne-socopituvannya",,,,,,,,,,,"0.20",,"22.00",,,,,,,,,"2.4",,,"4.0 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.6","18.4","10.2","3.2","2.6","2.4","1.2","0.6","0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа ""Выбор""","12.10.2015 - 14.10.2015","500","личное интервью","http://vse.rv.ua/politika/1444905515-reytingi-kandidativ-na-miskogo-golovu-rivnogo-nezalezhne-socopituvannya","13",,"15.4","3",,,"13.2","3.8","7.8",,"6.60",,"18.00",,,,,,,,,,,,"4.0 %",,,,,,"4.6",,,"2",,"7.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Центр научно-прикладных исследований «Социо»","15.10.2015 - 16.10.2015","1500","личное интервью","http://glavnoe.dp.ua/blogs/vybory-mehra-krivogo-roga-mogut-projjti-v-odin-tur-a-v-krivorozhskijj-gorsovet-prokhodjat-tri-partii---socopros",,,,,,,,,,,,,"15.30",,,,,,,,,,,,"2.5 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.9",,"2.7",,,"2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.2","8","3.8","2.4","2.4","2.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Центр научно-прикладных исследований «Социо» (Кривой Рог)","15.10.2015 - 16.10.2015","1500","личное интервью","http://glavnoe.dp.ua/blogs/vybory-mehra-krivogo-roga-mogut-projjti-v-odin-tur-a-v-krivorozhskijj-gorsovet-prokhodjat-tri-partii---socopros","8.5",,"7.1",,,,"2.5","2.7","2.2","38.7",,,"28.60",,,,,,,,,,,,"2.5 %",,,,,"2.1","2.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Центр исследований региональной политики (Сумы)","11.10.2015 - 17.10.2015","470","личное интервью","http://sumynews.com/news-and-ideas/policy/8750",,,,,,,,,,,"2.50",,"51.10",,,,,,,,,,,,"3.0 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.2","12.5","4","3.7","3","2.7","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Центр исследований региональной политики (Сумы)","11.10.2015 - 17.10.2015","470","личное интервью","http://sumynews.com/news-and-ideas/policy/8750","10.8",,"8.4",,,,"4","2.7","4.4","3.7","6.30","19.50","28.70",,,,,,,,,,,,"3.0 %",,,,,"4.7","2.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Опрос по заказу штаба Николаевской организации партии «САМОПОМІЧ» ","09.10.2015 - 18.10.2015","2000","личное интервью","http://inshe.tv/politics/2015-10-21/62847/",,,"6.2",,,,"14.15",,"3","19.85","10.55",,"21.15","4.15",,,,,,,,,,,"2.9 %",,,,,"4.95",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Опрос по заказу штаба Николаевской организации партии «САМОПОМІЧ» ","09.10.2015 - 18.10.2015","2000","личное интервью","http://inshe.tv/politics/2015-10-21/62847/",,,,,,,,,,,"7.45",,"20.15","5.40",,,,"1.4",,,,,,,"2.9 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.2","14.85","14.25","7.15","5.3","3.25","2.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"8",,"4.2","1","2.5",,"Социологическая компания «Украинский интеллект»","13.10.2015 - 15.10.2015","2242","личное интервью","http://ukr-monitor.com.ua/project-view/kyiv-election-13-15/",,,,,,,,,,,,,,,,,,,,,,,,,"0.4 %",,,,,,,,,,,,,"20.4","7.1",,"13.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.5",,,,,,"5.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая компания «Украинский интеллект»","13.10.2015 - 15.10.2015","2242","личное интервью","http://ukr-monitor.com.ua/project-view/kyiv-election-13-15/","7.5",,"22",,,,"3.9","2.7","2.1","1.1",,,,,,,,,,,,,,,"0.4 %",,,,,,"3.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.5","4.6",,,,,,,,"13.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Киевский центр политического и экономического анализа","12.10.2015 - 16.10.2015","1000","личное интервью","http://glavnoe.ua/news/n246534",,,,,,,,,,,,"19.40","16.30",,,,,,,,,,,,"3.1 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.5",,,,,,,,,,,,,,,,,,"46","2.8","2.7","2.3","2.4","6.55","0.8","0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Киевский центр политического и экономического анализа","12.10.2015 - 16.10.2015","1000","личное интервью","http://glavnoe.ua/news/n246534","2.3",,"5.4",,,,"8.65","1.15","0.9",,"2.00","19.40","14.80",,,,,,,,,,,,"3.1 %",,,,,"30.8",,,,,"6.2","4.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.8",,,,"0.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Институт гражданского представительства","12.10.2015 - 15.10.2015","3200","личное интервью","http://zik.ua/ru/news/2015/10/20/za_kogo_progolosuyut_lvovshchyna_y_yvanofrankovshchyna_poslednyaya_sotsyologyya_634689","8.6",,"11.8","7.1",,,"32",,"5.6",,,,"19.70",,,,,,,,,,,,"2.3 %",,,,,,"5.1",,,,,"5.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Институт гражданского представительства","12.10.2015 - 15.10.2015","3200","личное интервью","http://zik.ua/ru/news/2015/10/20/za_kogo_progolosuyut_lvovshchyna_y_yvanofrankovshchyna_poslednyaya_sotsyologyya_634689","17",,"11.8","3.7",,,"7.3","2.6","19",,,,"22.20",,,,,,,,,,,,"2.3 %",,,,,,"6.7",,,,,"4.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Институт гражданского представительства","12.10.2015 - 15.10.2015","3200","личное интервью","http://zik.ua/ru/news/2015/10/20/za_kogo_progolosuyut_lvovshchyna_y_yvanofrankovshchyna_poslednyaya_sotsyologyya_634689","14.8",,"16.1","2.7",,,"9.8","3.6","8",,"9.50",,"14.50",,,,,,,,,,,,"2.3 %",,,,,,"3.6",,,,,"2.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
